"1","相约网红自行车公园","骑行最美茶海小径","2019.05.13 - 05.18","每天 07:30 am - 19:30 pm","地点 长宁区 虹桥路地铁站","img/event 1.jpg","","img/transparent.png","乘坐巴士，到距离上海不远的小城宜兴, 深藏着一个自行车主题公园。 这里是江苏第一个自行车主题公园。","23","31","0","1","1","0","0","0","行程安排：
7:40 开始在指定地点签到集合，自由交流。（记得调好闹钟，不要迟到哦，迟到将错过车和活动）
7:50 准时出发，领队在车上介绍行程，并组织大家自我介绍相互认识，一路欢歌笑语奔赴小城宜兴。
11:20 抵达自行车公园。先取车，然后一起骑行。
12:30 适时午餐，午餐请自带干粮。
16:00 回到指定地点集合，准备返程。
19:30 我们的大巴回到上海市区。大家依依惜别，下次再聚。","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"2","漫步上海周边的最美樱花小镇","探索江南水乡枫泾古镇","2019.05.13 - 2019.05.18","每天 08:30 am - 17:00 pm","地点 长宁区 虹桥路地铁站","img/event 2.jpg","","img/transparent.png","漫步平湖樱花小镇，探索江南水乡枫泾古镇（1天活动）。 藏着一个花团锦簇的浪漫樱花小镇。","23","31","1","1","1","0","1","1","行程安排：
8:50 开始在指定地点签到集合，自由交流。（记得调好闹钟，不要迟到哦，迟到将错过车和活动）
9:00 准时出发，领队在车上介绍行程，并组织大家自我介绍相互认识，一路欢歌笑语奔赴平湖。
10:30 抵达樱花小镇。
12:45 逛差不多了吧？在指定地点集合啦，上车去枫泾古镇。
13:20 到达枫泾古镇景区停车场。
“枫泾寻画”是沪上新八景之一。古镇河渠纵横，清冽的河水好像一幅画布，
白墙黑瓦、廊桥街树、楼台亭阁在画布上一一呈现。
15:40 回到景区停车场集合，适时上车返程。
17:00 我们的大巴回到上海市区。大家依依惜别，下次再聚。","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"3","公益之家","资助项目","2019.05.18 周六","10:00 am - 20:00 pm","地点 徐汇区 上海体育场","img/event 3.png","","img/transparent.png","参加公益之家成员大会,一起集思广益如何主动去救助更多的有需要的人群。","23","31","0","1","1","0","1","0","如果你有固定的精力来参与公益之家的事务,
例如: 每周参加一次成员大会;
一起集思广益如何主动去救助更多的有需要的人群;
无论贫富，如果你愿意将自己收入的一部分，
献出来帮助那些存在生存困难的人们，
请加入我们。","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"4","漫步上海老街","边走边聊","2019.05.18 周六","14:00 pm - 17:00 pm","地点 徐汇区 地铁到门店","img/event 4.jpg","","img/transparent.png","漫步上海老街, 走过那些老建筑, 仿佛置身于那时那景那人。","23","31","0","1","1","0","1","1","活动形式：
1、14点集合，轮流自我介绍。14：30分准时出发，
迟到的同学，自己骑车追上。或者直接到下一个休息点。
2、出发后，每3，4人，分一组，分享与交流。
3、中间设置几个休息点，有社交小游戏。
4、活动设置两个领队，一前一后，防止走散。","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"5","夜徒法租界","梧桐树下聊天交友散步","2019.05.15 周三","19:30 pm - 20:30 pm","地点 徐汇区 徐家汇","img/event 5.jpg","（来自：新闻广播FM93.4）","img/SourceNewsRadioLogo.jpg","徒步路线：徐家汇——衡山路——淮海路 。扩大自己的视野，认识一些有趣的人。","23","31","0","1","1","0","0","0","行程安排：
19:30地铁徐家汇站14号口集合，
大概半个小时左右开始今晚的徒步：衡山路-淮海路，
大家可以边走边聊，看见有趣的小店可以随便看一下，
到达陕西南路站大家依依惜别。","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"6","游走魔都","","2019.05.19 周日","14:00 pm - 16:30 pm","地点 徐汇区 武康大楼","img/event 6.jpg","","img/transparent.png","请放慢自己的脚步，跟随自己的心，用眼睛去重新发现这个有很多故事的上海。","23","31","0","1","1","0","1","0","喜欢漫步找寻曾经的华美
喜欢细细品味当下的静谧
一边游走
一边记录
碰到喜欢的小店就走进去点一杯咖啡
庸懒的享受一整个下午的时光
如果你也喜欢
一起结伴同行吧? ","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"7","世纪公园踏春","做游戏-K歌","2019.05.18 周六","12:00 pm - 19:00 pm","地点 浦东新区 上海世纪公园","img/event 7.jpg","","img/transparent.png","世纪公园里已经色彩缤纷，到处散发着安静祥和的气息。","23","31","0","0","1","0","0","0","行程计划：
11:50 世纪公园门口集合
12:00-12:30 自我介绍
12:30-13:30 做游戏
13:30-15:30 公园散步聊天
15:30-19:00附近KTV欢唱
活动结束后想用餐的附近AA,不想用餐的各回各家，下次再见！","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"8","儿童慈善徒步运动","","2019.05.18 周六","12:00 pm - 19:00 pm","任何户外地点","img/walkathon.png","（来自：上海市环境监测中心）","img/SourceSHEnvironmentLogo.jpg","步行4000-7000步。 我们将代表您向上海联合基金会捐款！独自行走或与您的朋友和家人一起散步，并使用微信步数记录您步数！","23","31","1","1","1","0","0","1","我们将捐钱给上海联劝公益基金会，它的使命是：授权捐助者支持中国的基层非政府组织目前，大多数基层非政府组织缺乏有效的专业筹款方法，大多数中国官方基金会提供的补助机会非常有限。 由此产生的资金缺口迫使他们将不成比例的时间集中在维持其组织的运作上。 因此，他们通常既没有精力也没有资金进行大规模筹款活动，或者专注于改善其计划的影响。 上海联劝公益基金会（SUF）专注于为基层非政府组织筹集资金，以减轻限制有前途组织增长和影响的大部分财政负担。","2019年5月13-19日","2019年5月18日","五月13至19日","1"
"1","相约网红自行车公园","骑行最美茶海小径","2019.05.13 - 05.18","每天 07:30 am - 19:30 pm","地点 长宁区 虹桥路地铁站","img/event 1.jpg","","img/transparent.png","乘坐巴士，到距离上海不远的小城宜兴, 深藏着一个自行车主题公园。 这里是江苏第一个自行车主题公园。","23","31","0","1","1","0","0","0","行程安排：7:40 开始在指定地点签到集合，自由交流。（记得调好闹钟，不要迟到哦，迟到将错过车和活动）7:50 准时出发，领队在车上介绍行程，并组织大家自我介绍相互认识，一路欢歌笑语奔赴小城宜兴。11:20 抵达自行车公园。先取车，然后一起骑行。12:30 适时午餐，午餐请自带干粮。16:00 回到指定地点集合，准备返程。19:30 我们的大巴回到上海市区。大家依依惜别，下次再聚。","2019年6月3-9日","2019年6月8日","六月3至9日","2"
"2","漫步上海周边的最美樱花小镇","探索江南水乡枫泾古镇","2019.05.13 - 2019.05.18","每天 08:30 am - 17:00 pm","地点 长宁区 虹桥路地铁站","img/event 2.jpg","","img/transparent.png","漫步平湖樱花小镇，探索江南水乡枫泾古镇（1天活动）。 藏着一个花团锦簇的浪漫樱花小镇。","23","31","1","1","1","0","1","1","行程安排：8:50 开始在指定地点签到集合，自由交流。（记得调好闹钟，不要迟到哦，迟到将错过车和活动）9:00 准时出发，领队在车上介绍行程，并组织大家自我介绍相互认识，一路欢歌笑语奔赴平湖。10:30 抵达樱花小镇。12:45 逛差不多了吧？在指定地点集合啦，上车去枫泾古镇。13:20 到达枫泾古镇景区停车场。“枫泾寻画”是沪上新八景之一。古镇河渠纵横，清冽的河水好像一幅画布，白墙黑瓦、廊桥街树、楼台亭阁在画布上一一呈现。15:40 回到景区停车场集合，适时上车返程。17:00 我们的大巴回到上海市区。大家依依惜别，下次再聚。","2019年6月3-9日","2019年6月8日","六月3至9日","2"
